city;date;begin;duration
Любытино;02.11.2018;12:39:00;0:10:00
Новинка ;04.11.2018;22:36:00;2:25:00
Воронино;07.11.2018;11:50:00;1:54:00
Яжелбицы;07.11.2018;15:22:00;0:29:00
Хвойная;07.11.2018;15:44:00;0:45:00
Воронино;07.11.2018;16:21:00;0:10:00
Калитино;07.11.2018;20:21:00;17:51:00
Старая Каменка;11.11.2018;10:00:00;1:13:00
Висленев Остров;11.11.2018;10:17:00;3:02:00
Тугино;13.11.2018;7:21:00;3:36:00
Старая Каменка;13.11.2018;10:18:00;1:06:00
Малая Вишера;13.11.2018;11:15:00;0:21:00
Старая Каменка;13.11.2018;12:55:00;1:10:00
Тёсовский;14.11.2018;0:08:00;0:18:00
Калитино;14.11.2018;6:22:00;8:36:00
Кабожа;14.11.2018;13:15:00;1:11:00
Мокрый Остров;15.11.2018;1:45:00;20:51:00
Анциферово;15.11.2018;4:10:00;15:11:00
Лычково;15.11.2018;3:59:00;10:37:00
Пролетарий;15.11.2018;9:33:00;1:17:00
Калитино;15.11.2018;9:40:00;1:40:00
Волот;15.11.2018;12:43:00;1:16:00
Лубенское;15.11.2018;15:06:00;0:59:00
Мокрый Остров;15.11.2018;22:36:00;17:54:00
Лубенское;16.11.2018;6:38:00;4:35:00
Калитино;15.11.2018;19:26:00;21:15:00
Анциферово;16.11.2018;11:20:00;0:10:00
Мокрый Остров;16.11.2018;21:35:00;19:45:00
Калитино;17.11.2018;9:43:00;1:52:00
Ильина Гора;17.11.2018;21:37:00;1:37:00
Тугино;19.11.2018;9:21:00;2:19:00
Холм;20.11.2018;9:55:00;2:21:00
Старая Каменка;20.11.2018;11:07:00;4:41:00
Мошенское;20.11.2018;10:40:00;0:56:00
Калитино;20.11.2018;10:24:00;4:33:00
Новинка ;20.11.2018;16:48:00;0:37:00
Старая Каменка;21.11.2018;7:45:00;0:35:00
Мошенское;21.11.2018;3:47:00;0:08:00
Хвойная;22.11.2018;9:00:00;3:45:00
Пролетарий;22.11.2018;9:45:00;0:01:00
Висленев Остров;22.11.2018;10:55:00;0:10:00
Висленев Остров;22.11.2018;18:29:00;1:13:00
Валдай;23.11.2018;13:33:00;0:57:00
Хвойная;23.11.2018;23:30:00;0:20:00
Висленев Остров;29.11.2018;10:02:00;0:08:00
Висленев Остров;29.11.2018;16:02:00;0:10:00
Новое Овсино;30.11.2018;1:41:00;9:22:00
Висленев Остров;30.11.2018;9:42:00;0:03:00
Переходы;30.11.2018;10:23:00;4:25:00
Старая Каменка;30.11.2018;17:07:00;2:14:00
Висленев Остров;30.11.2018;21:37:00;1:14:00
